101110111,Juan Perez,San José
102220222,Maria Rodriguez,San José
103330333,Pedro Gomez,San José
104440444,Ana Solano,San José
105550555,Luis Chaves,San José
106660666,Carlos Mora,San José
107770777,Mario Retana,San José
108880888,Elena Castro,San José
201110111,Sofia Jimenez,Alajuela
202220222,Diego Arias,Alajuela
203330333,Andres Saborio,Alajuela
204440444,Laura Quesada,Alajuela
205550555,Gabriel Blanco,Alajuela
206660666,Silvia Alfaro,Alajuela
301110111,Valeria Monge,Cartago
302220222,Esteban Rojas,Cartago
303330333,Monica Delgado,Cartago
304440444,Felipe Ortiz,Cartago
305550555,Lucia Mendez,Cartago
401110111,Daniel Herrera,Heredia
402220222,Camila Fuentes,Heredia
403330333,Alejandro Vega,Heredia
